"","Latitude","Longitude","Weight","Year"
"564",58.3,185.1,98.39,2014
"565",58.3,187.1,42093.03,2014
"566",58.3,189.1,61729.48,2014
"567",58.3,191.1,136252.89,2014
"568",58.3,193.1,20805.14,2014
"569",58.3,195.1,14146567.67,2014
"570",58.3,197.1,0,2014
"571",58.3,199.1,0,2014
"572",58.3,201.1,0,2014
"573",60.3,181.1,0,2014
"574",60.3,183.1,0,2014
"575",60.3,185.1,62.63,2014
"576",60.3,187.1,0,2014
"577",60.3,189.1,0,2014
"578",60.3,191.1,0,2014
"579",60.3,193.1,0,2014
"580",60.3,195.1,0,2014
"581",60.3,197.1,0,2014
"582",60.3,199.1,0,2014
"583",60.3,201.1,0,2014
"584",62.3,181.1,0,2014
"585",62.3,183.1,0,2014
"586",62.3,185.1,0,2014
"587",62.3,187.1,0,2014
"588",62.3,189.1,0,2014
"589",62.3,191.1,0,2014
"590",62.3,193.1,0,2014
"591",62.3,195.1,0,2014
"592",62.3,197.1,0,2014
"593",62.3,199.1,0,2014
"594",62.3,201.1,0,2014
"595",64.3,181.1,0,2014
"596",64.3,183.1,0,2014
"597",64.3,185.1,0,2014
"598",64.3,187.1,0,2014
"599",64.3,189.1,0,2014
"600",64.3,191.1,0,2014
"601",64.3,193.1,0,2014
"602",64.3,195.1,0,2014
"603",64.3,197.1,0,2014
"604",64.3,199.1,0,2014
"605",64.3,201.1,0,2014
"606",66.3,181.1,0,2014
"607",66.3,183.1,0,2014
"608",66.3,185.1,0,2014
"609",66.3,187.1,0,2014
"610",66.3,189.1,0,2014
"611",66.3,191.1,0,2014
"612",66.3,193.1,0,2014
"613",66.3,195.1,0,2014
"614",66.3,197.1,0,2014
"615",66.3,199.1,0,2014
"616",66.3,201.1,0,2014
"617",52.3,181.1,0,2013
"618",52.3,183.1,0,2013
"619",52.3,185.1,0,2013
"620",52.3,187.1,0,2013
"621",52.3,189.1,82.48,2013
"622",52.3,191.1,0,2013
"623",52.3,193.1,150.56,2013
"624",52.3,195.1,0,2013
"625",52.3,197.1,0,2013
"626",52.3,199.1,0,2013
"627",52.3,201.1,0,2013
"628",54.3,181.1,0,2013
"629",54.3,183.1,0,2013
"630",54.3,185.1,0,2013
"631",54.3,187.1,2.05,2013
"632",54.3,189.1,81.56,2013
"633",54.3,191.1,1492.6,2013
"634",54.3,193.1,1465932.6,2013
"635",54.3,195.1,7901467.95,2013
"636",54.3,197.1,1077764.04,2013
"637",54.3,199.1,0,2013
"638",54.3,201.1,0,2013
"639",56.3,181.1,0,2013
"640",56.3,183.1,0,2013
"641",56.3,185.1,90.13,2013
"642",56.3,187.1,37276934.18,2013
"643",56.3,189.1,260156.42,2013
"644",56.3,191.1,26270237.23,2013
"645",56.3,193.1,32492024.94,2013
"646",56.3,195.1,34445760.59,2013
"647",56.3,197.1,6873042.38,2013
"648",56.3,199.1,0,2013
"649",56.3,201.1,0,2013
"650",58.3,181.1,70.45,2013
"651",58.3,183.1,176.51,2013
"652",58.3,185.1,80.19,2013
"653",58.3,187.1,911339.41,2013
"654",58.3,189.1,45540.16,2013
"655",58.3,191.1,36849.47,2013
"656",58.3,193.1,18931.52,2013
"657",58.3,195.1,4275495.24,2013
"658",58.3,197.1,12634.68,2013
"659",58.3,199.1,0,2013
"660",58.3,201.1,0,2013
"661",60.3,181.1,29.84,2013
"662",60.3,183.1,0,2013
"663",60.3,185.1,0,2013
"664",60.3,187.1,0,2013
"665",60.3,189.1,0,2013
"666",60.3,191.1,0,2013
"667",60.3,193.1,0,2013
"668",60.3,195.1,0,2013
"669",60.3,197.1,0,2013
"670",60.3,199.1,0,2013
"671",60.3,201.1,0,2013
"672",62.3,181.1,0,2013
"673",62.3,183.1,0,2013
"674",62.3,185.1,0,2013
"675",62.3,187.1,0,2013
"676",62.3,189.1,0,2013
"677",62.3,191.1,0,2013
"678",62.3,193.1,0,2013
"679",62.3,195.1,0,2013
"680",62.3,197.1,0,2013
"681",62.3,199.1,0,2013
"682",62.3,201.1,0,2013
"683",64.3,181.1,0,2013
"684",64.3,183.1,0,2013
"685",64.3,185.1,0,2013
"686",64.3,187.1,0,2013
"687",64.3,189.1,0,2013
"688",64.3,191.1,0,2013
"689",64.3,193.1,0,2013
"690",64.3,195.1,0,2013
"691",64.3,197.1,0,2013
"692",64.3,199.1,0,2013
"693",64.3,201.1,0,2013
"694",66.3,181.1,0,2013
"695",66.3,183.1,0,2013
"696",66.3,185.1,0,2013
"697",66.3,187.1,0,2013
"698",66.3,189.1,0,2013
"699",66.3,191.1,0,2013
"700",66.3,193.1,0,2013
"701",66.3,195.1,0,2013
"702",66.3,197.1,0,2013
"703",66.3,199.1,0,2013
"704",66.3,201.1,0,2013
"705",52.3,181.1,0,2012
"706",52.3,183.1,0,2012
"707",52.3,185.1,0,2012
"708",52.3,187.1,0,2012
"709",52.3,189.1,749.49,2012
"710",52.3,191.1,0,2012
"711",52.3,193.1,757.9,2012
"712",52.3,195.1,0,2012
"713",52.3,197.1,0,2012
"714",52.3,199.1,0,2012
"715",52.3,201.1,0,2012
"716",54.3,181.1,0,2012
"717",54.3,183.1,0,2012
"718",54.3,185.1,0,2012
"719",54.3,187.1,0,2012
"720",54.3,189.1,39.71,2012
"721",54.3,191.1,3857.04,2012
"722",54.3,193.1,1932614.83,2012
"723",54.3,195.1,24592492.6,2012
"724",54.3,197.1,191586.9,2012
"725",54.3,199.1,0,2012
"726",54.3,201.1,0,2012
"727",56.3,181.1,0,2012
"728",56.3,183.1,0,2012
"729",56.3,185.1,10.88,2012
"730",56.3,187.1,12345191.18,2012
"731",56.3,189.1,110313.06,2012
"732",56.3,191.1,18057921.92,2012
"733",56.3,193.1,40189211.59,2012
"734",56.3,195.1,25001936.74,2012
"735",56.3,197.1,1640224,2012
"736",56.3,199.1,0,2012
"737",56.3,201.1,0,2012
"738",58.3,181.1,169.31,2012
"739",58.3,183.1,471.44,2012
"740",58.3,185.1,581.84,2012
"741",58.3,187.1,3235.34,2012
"742",58.3,189.1,22554.8,2012
"743",58.3,191.1,1287910.51,2012
"744",58.3,193.1,1071014.25,2012
"745",58.3,195.1,16580181.33,2012
"746",58.3,197.1,45702.2,2012
"747",58.3,199.1,0,2012
"748",58.3,201.1,0,2012
"749",60.3,181.1,90.21,2012
"750",60.3,183.1,0,2012
"751",60.3,185.1,1.21,2012
"752",60.3,187.1,0,2012
"753",60.3,189.1,0,2012
"754",60.3,191.1,0,2012
"755",60.3,193.1,0,2012
"756",60.3,195.1,0,2012
"757",60.3,197.1,0,2012
"758",60.3,199.1,0,2012
"759",60.3,201.1,0,2012
"760",62.3,181.1,0,2012
"761",62.3,183.1,0,2012
"762",62.3,185.1,0,2012
"763",62.3,187.1,0,2012
"764",62.3,189.1,0,2012
"765",62.3,191.1,0,2012
"766",62.3,193.1,0,2012
"767",62.3,195.1,0,2012
"768",62.3,197.1,0,2012
"769",62.3,199.1,0,2012
"770",62.3,201.1,0,2012
"771",64.3,181.1,0,2012
"772",64.3,183.1,0,2012
"773",64.3,185.1,0,2012
"774",64.3,187.1,0,2012
"775",64.3,189.1,0,2012
"776",64.3,191.1,0,2012
"777",64.3,193.1,0,2012
"778",64.3,195.1,0,2012
"779",64.3,197.1,0,2012
"780",64.3,199.1,0,2012
"781",64.3,201.1,0,2012
"782",66.3,181.1,0,2012
"783",66.3,183.1,0,2012
"784",66.3,185.1,0,2012
"785",66.3,187.1,0,2012
"786",66.3,189.1,0,2012
"787",66.3,191.1,0,2012
"788",66.3,193.1,0,2012
"789",66.3,195.1,0,2012
"790",66.3,197.1,0,2012
"791",66.3,199.1,0,2012
"792",66.3,201.1,0,2012
"793",52.3,181.1,0,2011
"794",52.3,183.1,0,2011
"795",52.3,185.1,1.14,2011
"796",52.3,187.1,0,2011
"797",52.3,189.1,989.95,2011
"798",52.3,191.1,0,2011
"799",52.3,193.1,22.27,2011
"800",52.3,195.1,0,2011
"801",52.3,197.1,0,2011
"802",52.3,199.1,0,2011
"803",52.3,201.1,0,2011
"804",54.3,181.1,0,2011
"805",54.3,183.1,0,2011
"806",54.3,185.1,0,2011
"807",54.3,187.1,0,2011
"808",54.3,189.1,935.23,2011
"809",54.3,191.1,311.43,2011
"810",54.3,193.1,2175082.51,2011
"811",54.3,195.1,7195155.18,2011
"812",54.3,197.1,1214955.73,2011
"813",54.3,199.1,0,2011
"814",54.3,201.1,0,2011
"815",56.3,181.1,0,2011
"816",56.3,183.1,0,2011
"817",56.3,185.1,16.91,2011
"818",56.3,187.1,22147506.26,2011
"819",56.3,189.1,636650.24,2011
"820",56.3,191.1,1321200.25,2011
