SPECIES_CODE,YEAR,SUBAREA,SEX,AGE,AGEPOP,MEANLEN,SDEV
10210,1987,999999,9,22,28490482,336.24,21.44
10210,1987,999999,9,23,23282915,356.32,7.71
10210,1987,999999,9,24,14022696,347.32,4.43
10210,1987,999999,9,25,31164184,322.41,6.51
10210,1987,999999,9,26,14634221,310,0
10210,1988,1,1,-9,10976208,170.83,110.11
10210,1988,1,1,3,1627833,100,0
10210,1988,1,1,4,6975045,120,0
10210,1988,1,1,5,224699573,159.09,26.29
10210,1988,1,1,6,21387965,192.43,18.71
10210,1988,1,1,7,560126561,192.95,29.3
10210,1988,1,1,8,284319176,232.8,23.32
10210,1988,1,1,9,244397994,266.98,22.43
10210,1988,1,1,10,49639123,280.38,17.63
10210,1988,1,1,11,108272651,287.13,22.84
10210,1988,1,1,12,18206817,300,0
10210,1988,1,1,13,112555470,298.91,11.78
10210,1988,1,1,14,204921850,298.06,17.73
10210,1988,1,1,15,117129279,310.7,14.62
10210,1988,1,1,16,18206817,300,0
10210,1988,1,1,17,73024317,301.23,10.54
10210,1988,1,1,18,59736919,304.62,17.5
10210,1988,1,1,19,59983339,305.8,17.85
10210,1988,1,1,20,77234028,312.18,21.23
10210,1988,1,1,21,67925499,318.48,11.39
10210,1988,1,1,22,22440501,326.46,9.35
10210,1988,1,1,23,7244869,340,0
10210,1988,1,2,-9,15223820,112,41.3
10210,1988,1,2,4,5236340,120,0
10210,1988,1,2,5,207251871,149.02,19.6
10210,1988,1,2,6,34134861,184.69,19.44
10210,1988,1,2,7,671433552,195.82,30.14
10210,1988,1,2,8,200228005,234.97,37.94
10210,1988,1,2,9,175699907,272.4,34.04
10210,1988,1,2,10,56678555,293.71,19.57
10210,1988,1,2,11,81015071,299.49,36.37
10210,1988,1,2,12,125460454,320.69,20.5
10210,1988,1,2,13,71864114,323.71,23.84
10210,1988,1,2,14,126711011,324.16,19.86
10210,1988,1,2,15,94878606,320.78,16.58
10210,1988,1,2,16,83801500,327.8,17.09
10210,1988,1,2,17,64029324,331.85,18.43
10210,1988,1,2,18,41122167,327.96,19.82
10210,1988,1,2,19,54687920,341.07,21.36
10210,1988,1,2,20,36687944,331.14,27.71
10210,1988,1,2,21,28714004,337.63,7.4
10210,1988,1,2,22,68274965,333.07,24.16
10210,1988,1,2,23,10588381,360.36,10.59
10210,1988,1,2,24,11439140,378.54,18.79
10210,1988,1,2,25,2748384,360,0
10210,1988,1,2,27,1283483,380,0
10210,1988,1,3,-9,795807,70,0
10210,1988,1,3,3,0,,
10210,1988,1,3,4,0,,
10210,1988,1,3,5,0,,
10210,1988,1,3,6,0,,
10210,1988,1,3,7,0,,
10210,1988,1,3,8,0,,
10210,1988,1,3,9,0,,
10210,1988,1,3,10,0,,
10210,1988,1,3,11,0,,
10210,1988,1,3,12,0,,
10210,1988,1,3,13,0,,
10210,1988,1,3,14,0,,
10210,1988,1,3,15,0,,
10210,1988,1,3,16,0,,
10210,1988,1,3,17,0,,
10210,1988,1,3,18,0,,
10210,1988,1,3,19,0,,
10210,1988,1,3,20,0,,
10210,1988,1,3,21,0,,
10210,1988,1,3,22,0,,
10210,1988,1,3,23,0,,
10210,1988,1,3,24,0,,
10210,1988,1,3,25,0,,
10210,1988,1,3,27,0,,
10210,1988,1,9,-9,26995835,134.68,82.68
10210,1988,1,9,3,1627833,100,0
10210,1988,1,9,4,12211385,120,0
10210,1988,1,9,5,431951444,154.26,23.86
10210,1988,1,9,6,55522826,187.67,19.53
10210,1988,1,9,7,1231560113,194.51,29.79
10210,1988,1,9,8,484547181,233.7,30.25
10210,1988,1,9,9,420097901,269.25,28.01
10210,1988,1,9,10,106317677,287.49,19.84
