"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.012,0,0,0.008,0.093037048,1.23e-05,0.54226,0.00651,0.00512,0.00236,0.021168595,0,9.98e-05,0
"183",0,0,0,0,0,0,0,0,0,0,0,0,5.769,35.715,2.448,49.147,0.258,54.634,185.912,13.156432441,7.268071946,652.81345,7.284116796,0.23644,33.104850388,3.069653893,0.48871,0.12416178,0.1351
"184",0,0,0,0,0,0,0,0,0,0,0,0,287.533,385.353,11.863,10661.685,16963.069,695.699,12063.932,11789.357334144,11047.98742,8959.60069,11266.57051,6035.36364,4968.942216796,9.031313853,2589.96315,1039.486183641,11.70486
"185",0,0,0,0,0,0,0,0,0,0,0,0,731.991,4246.258,548.066,1664.6,5816.546,3316.49,2299.74,9409.25466,10785.21973,2683.47413,17660.40953,7007.11097,1296.90043,25.407507263,698.16979,26.16799,28.39145
"186",0,0,0,0,0,0,0,0,0,0,0,0,5427.204,7003.475,3040.325,2689.125,69.224,1445.932,6.86,1.50171,264.24539,47.75364,9066.56015,129.38529,66.8692,76.74023,44.613798332,104.46794,117.52779
"187",0,0,0,0,0,0,0,0,0,0,0,0,31.703,252.136,163.059,521.852,0.082,20.293,0.449,0,0.01157,1.67237,0.70119,21.0567,24.64149,101.36582,112.907574479,233.46603,380.55225
"188",0,0,0,0,0,0,0,0,0,0,0,0,16.152,25.39,20.182,1.187,0.112,0.483,0.103,0.206,0.58187,0,0.01507,5.57531,9.1454,51.14059,20.53317,35.70883,73.47911
"189",0,0,0,0,0,0,0,0,0,0,0,0,20.829,0.03,0.649,0,0.622,0,0.001,0,0,0,0,5.12134,0.31046,59.5496,0.81435,12.61946,5.6591
"190",0,0,0,0,0,0,0,0,0,0,0,0,9.64,0.551,0.637,0,22.429,0.102,0,0.08133,0,0,0,0.43732,0,31.69657,13.46872,30.34093,5.72643
"191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,2.480909722,0,6.28952,0.2181
"192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.29518,0.05045
"193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.41288,0.1488
"194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.7558,0
"195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6619,0
"196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1013
"197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05956
"198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03954
"199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382,0,0,0.18549,0,0,0,0.06489,0.21961,0,0.10288
"200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96e-06,0,0,0,0,0,0,0,0,0
"201",0,0,0,0,0,0,0,0,0,0,0,0,1.314,0.028,0,0.099,0.001,0.002,0.317,0.11548,0,0.428466272,0.00201,0.00418,0.01602,0.031713362,0.62173,0,0
"202",0,0,0,0,0,0,0,0,0,0,0,0,0.026,0.156,0,0.126,0.348,0,0.205,17.832942155,0.168925868,4.28895,0.1948,0.00353,0.45031,0,0.00127,0,0.2248685
"203",0,0,0,0,0,0,0,0,0,0,0,0,0.362,0.619,0.403,5.138,0.764,0.027,0.191,0.767069569,0.81441,0.81608,0,0.08264,0.8703,0.039377957,0.12361,0.01054804,0.43552
"204",0,0,0,0,0,0,0,0,0,0,0,0,3.005,0.902,4.034,3.315,0.11,2.374,0.037,0.144481415,0.1344,0.17026,0,4.49814,0.19509,0.07806,0.59679,28.7164799,2.76654
"205",0,0,0,0,0,0,0,0,0,0,0,0,0.819,13.829,3.09,22.591,0.041,5.206,0.197,0,0.00154,0.03097,0.03676,0.11947,0.05434,2.5479,10.557817852,476.00244845,33.24149
"206",0,0,0,0,0,0,0,0,0,0,0,0,1.087,24.078,5.876,22.214,0.02,2.838,0.209,0,2.57517,0.10254,0.12274,0.4821,0.7416,11.60789,21.82727,87.84967,31.44175
"207",0,0,0,0,0,0,0,0,0,0,0,0,8.121,2.843,4.861,0.122,1.048,0.535,1.216,0.22,1.28356,0.06833,0,1.2694,0.22272,29.38,10.10958,12.17293,0.87546
"208",0,0,0,0,0,0,0,0,0,0,0,0,20.606,29.898,2.111,2.901,73.117,25.134,50.655,0.45552,0.15919,0.25028,0.24289,0.440069936,0.49349,19.29076937,43.31939,59.83396,1.107180499
"209",0,0,0,0,0,0,0,0,0,0,0,0,0.214,0.001,0,0,0,0.227,0.387,0,0,0,0,0.132150941,0,0,0.00356,0,0.000542996
